kernel_name,core_clk_time,core_clk_energy,core_clk_edp,core_clk_ed2p,clk_es_25,clk_es_50,clk_es_75,clk_pl_25,clk_pl_50,clk_pl_75
_ZTSZZ24clover_pack_message_leftRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEERNS3_IdLi1EEEiiiiiiiENKUlRN4sycl3_V17handlerEE_clESB_E26clover_pack_message_left61,1530,990,1387,1530,1252,1177,1072,1230,1147,1072
_ZTSZZ26clover_unpack_message_leftRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEERNS3_IdLi1EEEiiiiiiiENKUlRN4sycl3_V17handlerEE_clESB_E29clover_unpack_message_left102,1530,990,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ25clover_pack_message_rightRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEERNS3_IdLi1EEEiiiiiiiENKUlRN4sycl3_V17handlerEE_clESB_E28clover_pack_message_right142,1530,990,1387,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ27clover_unpack_message_rightRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEERNS3_IdLi1EEEiiiiiiiENKUlRN4sycl3_V17handlerEE_clESB_E27clover_pack_message_left187,1530,990,1387,1530,1252,1177,1072,1230,1147,1072
_ZTSZZ23clover_pack_message_topRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEERNS3_IdLi1EEEiiiiiiiENKUlRN4sycl3_V17handlerEE_clESB_E26clover_pack_message_top227,1530,990,1312,1530,1215,1147,1005,1215,1110,1012
_ZTSZZ25clover_unpack_message_topRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEERNS3_IdLi1EEEiiiiiiiENKUlRN4sycl3_V17handlerEE_clESB_E28clover_unpack_message_top270,1530,990,1312,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ26clover_pack_message_bottomRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEERNS3_IdLi1EEEiiiiiiiENKUlRN4sycl3_V17handlerEE_clESB_E29clover_pack_message_bottom314,1530,990,1312,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ28clover_unpack_message_bottomRN7synergy5queueEiiiiRN6clover6BufferIdLi2EEERNS3_IdLi1EEEiiiiiiiENKUlRN4sycl3_V17handlerEE_clESB_E28clover_unpack_message_top352,1530,990,1312,1530,1252,1177,1087,1237,1162,1087
