kernel_name,core_clk_time,core_clk_energy,core_clk_edp,core_clk_ed2p,clk_es_25,clk_es_50,clk_es_75,clk_pl_25,clk_pl_50,clk_pl_75
_ZTSZZ11build_fieldR16global_variablesENKUlRN4sycl3_V17handlerEE_clES4_E13build_field56,1530,1012,1312,1530,1252,1177,1072,1230,1147,1072
_ZTSZZ11build_fieldR16global_variablesENKUlRN4sycl3_V17handlerEE0_clES4_E13build_field83,1530,1012,1312,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ11build_fieldR16global_variablesENKUlRN4sycl3_V17handlerEE1_clES4_E14build_field100,1530,1012,1312,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ11build_fieldR16global_variablesENKUlRN4sycl3_V17handlerEE2_clES4_E14build_field112,1530,1012,1312,1530,1252,1177,1072,1230,1147,1072
_ZTSZZ11build_fieldR16global_variablesENKUlRN4sycl3_V17handlerEE3_clES4_E14build_field123,1530,990,1312,1530,1215,1147,1005,1215,1110,1012
_ZTSZZ11build_fieldR16global_variablesENKUlRN4sycl3_V17handlerEE4_clES4_E14build_field133,1530,990,1312,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ11build_fieldR16global_variablesENKUlRN4sycl3_V17handlerEE5_clES4_E14build_field143,1530,990,1312,1530,1245,1177,1050,1237,1162,1087
_ZTSZZ11build_fieldR16global_variablesENKUlRN4sycl3_V17handlerEE6_clES4_E14build_field153,1530,990,1312,1530,1252,1177,1087,1237,1162,1087
